store_key	storename	address	telno	region_name	province_name	city_muni_name	latitude	longitude
679	NAIA Terminal 3	4th Level Southwing Terminal 3 Pasay City		NCR - National Capital Region	NCR, FOURTH DISTRICT	PASAY CITY	14.5192	121.013
680	Taytay 3 (Muzon)	Manila East Rd  Brgy Muzon Taytay Rizal	2455467	REGION IV-A (CALABARZON)	RIZAL	TANAY	14.5437	121.144
681	DENR Bldg.	1515 Roxas Blvd Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	ERMITA	14.5736	120.981
682	Lucao (Dagupan City)	National Road Dagupan City Pangasinan	0932	REGION I (Ilocos Region)	PANGASINAN	DAGUPAN CITY	16.0206	120.322
684	Escoda (Site Building)	Leon Guinto St corner Escoda St Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	MALATE	14.574	120.99
685	Friendship Hi-Way (Moon Tae Park)	Friendship H-Way Brgy. Anunas Angeles City	4250105	REGION III (Central Luzon)	PAMPANGA	ANGELES CITY	15.1597	120.556
686	Lubao Pampanga	JP Rizal St Sta Cruz Lubao Pampanga	0922	REGION III (Central Luzon)	PAMPANGA	LUBAO	14.912	120.565
687	Taytay 4 (Taytay Doctors)	JP Rizal Avenue Taytay Rizal	0933	REGION IV-A (CALABARZON)	RIZAL	TANAY	14.5739	121.125
688	Cabanas Mall	McArthur H-Way Brgy. Longos City of Malolos	7687404	REGION III (Central Luzon)	BULACAN	CITY OF MALOLOS (Capital)	14.8748	120.797
689	Burnham Park (Clemente Commercial Center)	Shanum St. Burnham Park Baguio City	4245753	CAR - Cordillera Administrative Region	BENGUET	BAGUIO CITY	16.4111	120.592
690	Net Cube	Net Cube Center Bonifacio Global City Taguig		NCR - National Capital Region	NCR, FOURTH DISTRICT	TAGUIG CITY	14.5532	121.047
692	Attivo SF	Gapan Olongapo Road, San Fernando,Pampanga	9637724	REGION III (Central Luzon)	PAMPANGA	CITY OF SAN FERNANDO (Capital)	15.0445	120.688
696	Betterliving 4  (Caltex Dona)	Better Living Subdivision, Paranaque City		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF PARA?AQUE	14.4836	121.033
697	Bayambang	Royal Mall, Bayambang Pangasinan	0932	REGION I (Ilocos Region)	PANGASINAN	BAYAMBANG	15.8097	120.457
698	4th Avenue (Enriquez Property)	Grace Park, Caloocan City	4427251	NCR - National Capital Region	NCR, THIRD DISTRICT	CALOOCAN CITY	14.6434	120.98
699	Dagupan 5 (St. John Cathedral)	Dagupan City, Pangasinan	0933	REGION I (Ilocos Region)	PANGASINAN	DAGUPAN CITY	16.0417	120.334
701	Sanrise	2164 M. H. Del Pilar St., Malate, Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	MALATE	14.5654	120.986
702	Naga I	Grand Imperial Plaza, Naga City		REGION V (Bicol Region)	CAMARINES SUR	NAGA CITY	13.623	123.184
704	Mindanao Ave	Mindanao Avenue Talipapa, Novaliches, Quezon City	3325216	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6904	121.028
705	CWC	Cadlan Municipality of Pili, Camarines Sur		REGION V (Bicol Region)	CAMARINES SUR	PILI (Capital)	13.5967	123.257
706	Aria	Real cor. Aria Sts., Las Pinas City		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF LAS PI?AS	14.4479	120.985
707	Concepcion Uno	Bayan Bayanan Avenue Bgy Concepcion Marikina City	5849615	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MARIKINA	14.6505	121.106
708	Northwalk Clark	1601 E. Rodriguez St., Cubao, Quezon City	0942	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	15.1854	120.539
709	Caltex  Balibago	Caltex Balibago		REGION IV-A (CALABARZON)	LAGUNA	CITY OF SANTA ROSA	14.2889	121.095
710	Tejero	A. Soriano Highway, Tejero, Gen. Trias, Cavite		REGION IV-A (CALABARZON)	CAVITE	GENERAL TRIAS	14.3959	120.864
711	Tanauan 2	Tanauan 2		REGION IV-A (CALABARZON)	BATANGAS	CITY OF TANAUAN	14.0738	121.151
713	Suburbia	Suburbia	8610210	REGION III (Central Luzon)	PAMPANGA	CITY OF SAN FERNANDO (Capital)	15.0676	120.65
714	Systems Plus Angeles	Angeles City, Pampanga	0933	REGION III (Central Luzon)	PAMPANGA	ANGELES CITY	15.1587	120.592
715	One Archers Place	One Archers Place Taft Avenue, Malate, Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	MALATE	14.5668	120.993
716	Tumana Marikina	Farmers Ave cor JP Rizal St., Concepcion, Marikina	0933	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MARIKINA	14.6532	121.103
717	Malasique	Malasique	0933	REGION I (Ilocos Region)	PANGASINAN	MALASIQUI	15.9789	120.376
718	Towerville	Brgy Minuyan Proper, San Jose, del Monte, Bulacan	9277596	REGION III (Central Luzon)	BULACAN	CITY OF SAN JOSE DEL MONTE	14.7898	121.074
719	Deparo1	Deparo Road cor T Samson Ave., North Caloocan City	3434482	NCR - National Capital Region	NCR, THIRD DISTRICT	CALOOCAN CITY	14.7401	121.026
721	San Mateo	103 Gen Luna Ave Gitnang Daan I San Mateo Rizal	6613873	REGION IV-A (CALABARZON)	RIZAL	SAN MATEO	14.7081	121.118
723	Angono 2	Manila East Road cor Guido Street Angono Rizal	0933	REGION IV-A (CALABARZON)	RIZAL	ANGONO	14.5259	121.158
725	Bagong Ilog	E Rodriguez Ave cor Sta Rosa St Bagong Ilog Pasig	2340204	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.5665	121.071
726	Paliparan	Mabuhay City, Paliparan, Dasmarinas, Cavite		REGION IV-A (CALABARZON)	CAVITE	DASMARI?AS	14.3198	120.995
727	Agoo	16 Mac Arthur Highway, Agoo, La Union	0932	REGION I (Ilocos Region)	LA UNION	AGOO	16.3248	120.367
728	University of Baguio (PSD Pharmacy)	FB building Assumption Road, Baguio City	4422003	CAR - Cordillera Administrative Region	BENGUET	BAGUIO CITY	16.4156	120.598
729	Anabu Kostal	Aguinaldo Highway, Anabu II, Imus, Cavite		REGION IV-A (CALABARZON)	CAVITE	IMUS	14.3759	120.939
